quizno,class2Nm,custtypeNm,hard1Nm,hard2Nm,hard3Nm
1,1 단계,객관식,어휘,중,긍정형
2,1 단계,객관식,문법,중,긍정형
3,1 단계,객관식,어휘,중,긍정형
4,1 단계,객관식,어휘,중,긍정형
5,2 단계,객관식,어휘,중,긍정형
6,2 단계,객관식,어휘,중,긍정형
7,2 단계,객관식,어휘,중,긍정형
8,2 단계,객관식,어휘,중,긍정형
9,3 단계,객관식,어휘,중,긍정형
10,3 단계,객관식,어휘,중,긍정형
11,3 단계,객관식,어휘,중,긍정형
12,4 단계,객관식,어휘,중,긍정형
13,4 단계,객관식,어휘,중,긍정형
14,4 단계,객관식,어휘,중,긍정형
15,1 단계,객관식,문법,중,긍정형
16,1 단계,객관식,문법,중,긍정형
17,1 단계,객관식,문법,중,긍정형
18,2 단계,객관식,문법,중,긍정형
19,2 단계,객관식,문법,중,긍정형
20,2 단계,객관식,문법,중,긍정형
21,3 단계,객관식,문법,중,부정형
22,3 단계,객관식,문법,중,긍정형
23,3 단계,객관식,문법,중,부정형
24,3 단계,객관식,문법,중,부정형
25,4 단계,객관식,문법,중,긍정형
26,4 단계,객관식,문법,중,부정형
27,4 단계,객관식,문법,중,긍정형
28,4 단계,객관식,문법,중,긍정형
29,1 단계,객관식,쓰기,중,긍정형
30,2 단계,객관식,쓰기,중,긍정형
31,3 단계,객관식,쓰기,중,긍정형
32,3 단계,객관식,쓰기,중,긍정형
33,4 단계,객관식,쓰기,중,긍정형
34,1 단계,객관식,읽기,중,긍정형
35,2 단계,객관식,읽기,중,긍정형
36,2 단계,객관식,읽기,중,긍정형
37,3 단계,객관식,읽기,중,긍정형
38,4 단계,객관식,읽기,중,긍정형
39,1 단계,객관식,문화,중,부정형
40,1 단계,객관식,문화,중,부정형
41,2 단계,객관식,문화,중,부정형
42,2 단계,객관식,문화,중,긍정형
43,3 단계,객관식,문화,중,긍정형
44,3 단계,객관식,문화,중,부정형
45,3 단계,객관식,문화,중,긍정형
46,4 단계,객관식,문화,중,긍정형
47,4 단계,객관식,문화,중,부정형
48,4 단계,객관식,문화,중,부정형
49,4 단계,단답형,쓰기,중,긍정형
50,4 단계,단답형,쓰기,중,긍정형